Vendor,Handle,Title,Option1 Name,Option1 Value,Image Position,Image Src
,10x20-gorilla-grow-tent,,,,18,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Front_7ft_grande_c7cf551f-793a-4473-9841-b166dafc36d1.png?v=1596445689
,10x20-gorilla-grow-tent,,,,19,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x10_Quarter_8ft_grande_790bd1a6-0471-4a97-8229-631b04f23bce.png?v=1596445689
,10x20-gorilla-grow-tent,,,,20,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x10_Quarter_7ft_grande_c842f41c-7317-47c9-b240-80347fe6f65a.png?v=1596445689
,10x20-gorilla-grow-tent,,,,21,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x10_Above_9ft_grande_37cc8596-b39f-4d25-a949-6f0d6ac7d578.png?v=1596445689
Gorilla Grow,10x20ext,Gorilla Grow -GORILLA GROW TENT - 2' EXTENSION - 10' x 20' - OG/SHORTY,Model Name,2' Extension,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_2FT_grande_e779f335-3c42-46cd-a06c-de49a77b39e0.png?v=1596454382
Sun System,150-watt-high-pressure-sodium-mini,Sun System - 150 WATT HIGH PRESSURE SODIUM COMPLETE,Title,Default Title,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/mini.jpg?v=1594126562
Mondi,2-humidity-dome,"Mondi - 2"" Humidity Dome",Title,Default Title,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/dome.jpg?v=1594117334
Gorilla Grow,2x2-5-ggt-lite,Gorilla Grow -GORILLA GROW TENT - 2' x 2.5' - LITE LINE,Model Name,LTGGT22,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Tent_Detail_grande_19aeb6e0-13b9-46c0-94a8-37881f43126e.png?v=1596455499
,2x2-5-ggt-lite,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Vent_Open_Angle_grande_23b44bf0-4e5b-47af-9059-dc54423ec60c.png?v=1596455499
,2x2-5-ggt-lite,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Large_Port_Closed_2_24d14a84-6602-4776-adc7-66d0a2971783_grande_2.png?v=1596455499
,2x2-5-ggt-lite,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Tent_Detail_1_150d1760-c3d1-4744-a308-a546ae4b03cf_grande_1.png?v=1596455499
,2x2-5-ggt-lite,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Pole_Detail_3_d25717ce-15f9-4f7a-9dcd-022237d1baf6_grande_1.png?v=1596455499
,2x2-5-ggt-lite,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Pole_Detail_3_grande_a20f14b7-7885-43d9-8553-f3104157a8a0.png?v=1596455499
,2x2-5-ggt-lite,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Tent_Detail_1_grande_3b7ad99a-a964-4ea7-a793-b52cff77a5ce.png?v=1596455499
,2x2-5-ggt-lite,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Large_Port_Closed_2_24d14a84-6602-4776-adc7-66d0a2971783_grande_1.png?v=1596455499
,2x2-5-ggt-lite,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Large_Port_Closed_2_grande_4773aba1-a217-47c1-b81a-c473a0242473.png?v=1596455499
,2x2-5-ggt-lite,,,,10,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Side_grande_6e496370-e387-4260-9712-2e67a61467fb.png?v=1596455499
,2x2-5-ggt-lite,,,,11,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Rear_grande_4869df9b-9dd3-40e6-a317-a0834a467411.png?v=1596455499
